year,tournament,surface,tourney_level,avg_sets_R16,avg_diff_games_R16,avg_tot_games_R16,avg_rank_R16,fave_ratio_R16,avg_sets_QF,avg_diff_games_QF,avg_tot_games_QF,avg_rank_QF,fave_ratio_QF,avg_sets_SF,avg_diff_games_SF,avg_tot_games_SF,avg_rank_SF,fave_ratio_SF,avg_sets_F,avg_diff_games_F,avg_tot_games_F,avg_rank_F,fave_ratio_F
1968,Rome,Clay,M,4.0,6.625,36.875,,0.0,4.0,6.25,38.75,,0.0,3.5,10.0,27.0,,0.0,5.0,6.0,52.0,,0.0
1968,Toronto,Clay,M,3.625,8.5,35.0,,0.0,3.25,5.5,24.5,,0.0,4.0,7.5,34.5,,0.0,3.0,11.0,27.0,,0.0
1968,Cincinnati,Clay,M,2.75,3.0,29.0,,0.0,2.25,5.0,24.0,,0.0,3.0,4.0,35.0,,0.0,3.0,5.0,25.0,,0.0
1968,Roland Garros,Clay,G,3.25,9.5,29.5,,0.0,4.25,7.0,39.5,,0.0,4.0,6.5,36.5,,0.0,4.0,8.0,32.0,,0.0
1968,Wimbledon,Grass,G,3.875,6.375,39.125,,0.0,4.0,7.25,42.75,,0.0,3.5,6.0,44.0,,0.0,3.0,9.0,27.0,,0.0
1968,US Open,Grass,G,4.0,6.0,42.0,,0.0,3.75,7.25,48.25,,0.0,4.0,6.5,44.5,,0.0,5.0,3.0,65.0,,0.0
1968,Australian Chps.,Grass,G,3.5,5.125,36.875,,0.0,4.25,7.5,43.0,,0.0,3.5,6.5,41.5,,0.0,4.0,2.0,46.0,,0.0
1969,Rome,Clay,M,3.75,7.375,33.875,,0.0,3.25,10.5,28.5,,0.0,5.0,5.0,57.0,,0.0,5.0,6.0,48.0,,0.0
1969,Toronto,Clay,M,3.125,8.0,27.0,,0.0,4.75,4.25,45.75,,0.0,4.0,8.0,36.0,,0.0,4.0,8.0,38.0,,0.0
1969,Cincinnati,Clay,M,2.25,4.875,22.125,,0.0,2.25,4.25,22.25,,0.0,2.0,7.0,17.0,,0.0,2.0,9.0,15.0,,0.0
1969,Roland Garros,Clay,G,3.625,7.25,33.75,,0.0,4.5,7.0,45.0,,0.0,3.5,11.0,30.0,,0.0,3.0,7.0,29.0,,0.0
1969,Wimbledon,Grass,G,4.125,3.375,42.125,,0.0,4.0,6.0,42.0,,0.0,4.0,7.0,45.0,,0.0,4.0,4.0,42.0,,0.0
1969,US Open,Grass,G,4.125,7.25,45.0,,0.0,4.0,6.5,49.5,,0.0,4.0,4.5,50.5,,0.0,4.0,11.0,39.0,,0.0
1969,Australian Open,Grass,G,3.375,7.875,33.625,,0.0,4.0,6.75,48.25,,0.0,4.0,5.0,63.0,,0.0,3.0,7.0,31.0,,0.0
1970,Rome,Clay,M,3.625,7.875,35.875,,0.0,4.0,7.0,38.5,,0.0,4.0,5.5,38.5,,0.0,4.0,3.0,39.0,,0.0
1970,Montreal / Toronto,Clay,M,2.25,5.875,20.375,,0.0,2.25,5.5,22.5,,0.0,3.0,2.0,37.0,,0.0,3.0,7.0,25.0,,0.0
1970,Cincinnati,Clay,M,2.5,6.125,22.875,,0.0,2.5,4.25,25.25,,0.0,2.5,8.5,19.5,,0.0,3.0,2.0,46.0,,0.0
1970,Roland Garros,Clay,G,3.875,6.125,37.625,,0.0,4.0,6.75,43.25,,0.0,5.0,2.0,48.0,,0.0,3.0,12.0,24.0,,0.0
1970,Wimbledon,Grass,G,3.625,7.625,37.875,,0.0,3.75,8.25,43.75,,0.0,3.5,9.0,33.0,,0.0,5.0,6.0,46.0,,0.0
1970,US Open,Grass,G,3.875,6.0,39.25,,0.0,3.25,7.25,33.75,,0.0,3.0,9.0,28.0,,0.0,4.0,2.0,40.0,,0.0
1970,Australian Open,Grass,G,3.625,6.0,41.5,,0.0,4.0,5.75,55.25,,0.0,4.5,1.5,31.5,,0.0,3.0,8.0,34.0,,0.0
1970,Masters,Carpet,M,0.0,,,,,0.0,,,,,0.0,,,,,3.0,3.0,29.0,,0.0
1971,Rome,Clay,M,2.625,4.75,24.5,,0.0,2.75,3.5,24.5,,0.0,3.5,8.5,32.5,,0.0,3.0,8.0,30.0,,0.0
1971,Montreal / Toronto,Clay,M,2.125,6.5,18.75,,0.0,2.25,3.5,22.5,,0.0,2.0,5.0,21.0,,0.0,4.0,3.0,43.0,,0.0
1971,Cincinnati,Clay,M,2.25,3.625,22.625,,0.0,2.25,6.5,20.0,,0.0,2.0,7.0,17.0,,0.0,2.0,4.0,22.0,,0.0
1971,Roland Garros,Clay,G,4.125,5.375,40.125,,0.0,4.25,5.5,40.0,,0.0,3.5,7.5,31.5,,0.0,4.0,4.0,42.0,,0.0
1971,Wimbledon,Grass,G,3.75,5.375,40.125,,0.0,3.5,7.0,40.0,,0.0,3.0,11.0,27.0,,0.0,5.0,1.0,49.0,,0.0
1971,US Open,Grass,G,3.25,5.5,30.0,,0.0,3.0,8.75,29.25,,0.0,5.0,0.5,49.5,,0.0,4.0,5.0,39.0,,0.0
1971,Australian Open,Grass,G,4.0,7.0,39.25,,0.0,3.25,7.75,30.25,,0.0,3.0,6.0,32.0,,0.0,3.0,10.0,28.0,,0.0
1971,Masters,Carpet,M,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
1972,Rome,Clay,M,2.5,5.5,24.5,,0.0,2.5,4.25,24.75,,0.0,3.5,5.5,32.5,,0.0,4.0,9.0,37.0,,0.0
1972,Montreal / Toronto,Clay,M,2.125,5.625,20.625,,0.0,2.0,4.75,14.75,,0.0,2.5,2.5,25.5,,0.0,2.0,5.0,19.0,,0.0
1972,Cincinnati,Clay,M,2.625,3.375,23.625,,0.0,2.5,3.75,23.25,,0.0,2.5,4.0,22.0,,0.0,2.0,6.0,18.0,,0.0
1972,Roland Garros,Clay,G,3.875,7.875,37.875,,0.0,4.25,7.25,43.75,,0.0,4.0,7.0,36.0,,0.0,4.0,11.0,33.0,,0.0
1972,Wimbledon,Grass,G,3.625,7.125,31.125,,0.0,3.0,10.5,26.5,,0.0,3.5,6.5,33.5,,0.0,5.0,4.0,50.0,,0.0
1972,US Open,Grass,G,3.875,3.875,40.125,,0.0,4.0,4.75,41.25,,0.0,3.5,8.0,34.0,,0.0,5.0,4.0,50.0,,0.0
1972,Australian Open,Grass,G,3.5,7.875,30.625,,0.0,4.0,5.5,41.0,,0.0,3.5,6.5,35.5,,0.0,3.0,6.0,34.0,,0.0
1972,Masters,Carpet,M,0.0,,,,,0.0,,,,,3.5,5.5,12.5,,0.0,5.0,3.0,43.0,,0.0
1973,Rome,Clay,M,2.0,6.75,18.0,,0.0,2.25,5.75,21.25,,0.0,5.0,2.5,48.5,,0.0,3.0,15.0,21.0,,0.0
1973,Toronto,Clay,M,2.75,2.75,26.5,,0.0,2.0,4.75,20.75,,0.0,2.0,4.5,20.5,,0.0,3.0,12.0,24.0,,0.0
1973,Cincinnati,Clay,M,2.125,5.875,19.875,,0.0,2.25,7.25,18.25,,0.0,2.0,6.5,18.5,,0.0,3.0,3.0,31.0,,0.0
1973,Roland Garros,Clay,G,3.875,5.25,38.5,,0.0,3.75,6.75,36.25,,0.0,3.0,9.5,26.5,,0.0,3.0,12.0,24.0,,0.0
1973,Wimbledon,Grass,G,3.75,7.125,39.375,,0.0,4.75,3.75,48.25,,0.0,4.5,4.0,52.0,,0.0,3.0,9.0,33.0,,0.0
1973,US Open,Grass,G,3.5,7.25,34.25,19.125,0.875,3.5,7.0,34.0,6.75,1.0,3.5,7.0,38.0,9.0,0.0,5.0,2.0,44.0,7.0,1.0
1973,Australian Open,Grass,G,4.25,3.875,44.375,,0.0,4.0,4.75,42.25,,0.0,3.0,4.0,30.0,,0.0,4.0,9.0,41.0,,0.0
1973,Masters,Carpet,M,0.0,,,,,0.0,,,,,2.5,2.5,10.5,2.5,0.5,4.0,6.0,40.0,1.0,1.0
1974,Rome,Clay,M,2.125,7.5,18.25,41.0,0.75,2.0,7.25,17.75,12.75,0.75,4.0,5.0,37.0,6.0,1.0,3.0,9.0,27.0,11.0,0.0
1974,Toronto,Clay,M,2.0,5.875,19.625,30.125,0.5,2.0,5.25,20.25,20.0,0.75,2.0,6.0,19.0,10.5,0.5,3.0,9.0,27.0,10.0,1.0
1974,Cincinnati,Clay,M,2.375,3.5,25.5,110.75,0.625,2.25,5.75,22.25,58.5,1.0,2.5,7.5,18.5,28.0,1.0,2.0,2.0,26.0,14.0,1.0
1974,Roland Garros,Clay,G,3.75,7.125,35.875,42.375,0.375,4.0,5.75,36.75,44.0,0.5,3.5,7.5,30.5,10.0,1.0,5.0,11.0,41.0,8.0,1.0
1974,Wimbledon,Grass,G,3.875,5.25,41.25,28.375,0.375,4.0,6.0,41.5,35.0,0.5,4.5,6.0,47.0,55.5,0.5,3.0,12.0,24.0,2.0,1.0
1974,US Open,Grass,G,3.75,7.5,39.0,12.125,0.75,4.25,5.25,39.25,7.5,0.75,3.5,4.5,40.5,3.5,0.5,3.0,16.0,20.0,1.0,1.0
1974,Australian Open,Grass,G,4.125,5.375,43.375,49.75,0.5,3.5,7.25,34.25,30.75,0.5,3.5,6.0,33.0,26.0,0.5,4.0,4.0,42.0,3.0,1.0
1974,Masters,Grass,M,0.0,,,,,0.0,,,,,3.5,7.5,34.5,7.5,0.5,5.0,1.0,49.0,9.0,0.0
1975,Rome,Clay,M,2.5,5.625,23.125,12.625,0.875,2.0,6.5,18.0,8.75,0.75,2.5,6.0,12.0,13.0,0.0,3.0,5.0,37.0,16.0,0.0
1975,Toronto,Clay,M,2.375,6.0,20.5,27.285714285714285,0.5,2.25,5.75,22.75,20.0,0.75,2.0,4.5,20.5,8.5,1.0,3.0,12.0,26.0,9.0,0.0
1975,Cincinnati,Clay,M,2.25,4.0,23.25,44.8,0.125,2.5,4.75,23.25,44.0,0.0,2.5,3.5,26.5,57.5,0.0,3.0,0.0,30.0,49.0,1.0
1975,Roland Garros,Clay,G,3.75,5.75,35.0,26.75,0.625,3.75,6.75,38.25,22.25,0.75,4.0,4.0,35.0,3.5,1.0,3.0,9.0,27.0,4.0,0.0
1975,Wimbledon,Grass,G,3.5,8.75,34.75,9.5,0.875,4.25,4.5,43.5,10.75,0.25,4.0,6.0,44.0,4.5,1.0,4.0,10.0,36.0,8.0,0.0
1975,US Open,Clay,G,3.25,7.375,28.125,15.375,0.75,3.25,8.0,29.5,4.5,0.75,4.0,3.5,41.5,5.0,0.5,3.0,8.0,28.0,9.0,0.0
1975,Australian Open,Grass,G,3.75,5.875,34.375,30.125,0.875,4.0,5.25,40.75,25.25,0.5,4.0,3.5,43.5,1.5,1.0,4.0,2.0,44.0,2.0,0.0
1975,Masters,Hard,M,0.0,,,,,0.0,,,,,3.5,9.0,30.0,6.5,0.5,3.0,13.0,23.0,8.0,0.0
1976,Rome,Clay,M,2.25,6.5,20.75,,0.0,2.5,2.75,18.75,,0.0,3.0,10.0,26.0,,0.0,4.0,2.0,42.0,,0.0
1976,Toronto,Clay,M,2.25,5.0,23.0,,0.0,2.75,3.5,26.5,,0.0,2.0,6.0,19.0,,0.0,3.0,7.0,31.0,,0.0
1976,Cincinnati,Clay,M,2.375,5.625,20.625,,0.0,2.25,7.0,20.0,,0.0,2.0,5.5,19.5,,0.0,2.0,4.0,22.0,,0.0
1976,Roland Garros,Clay,G,3.875,7.5,36.75,,0.0,4.25,4.0,39.5,,0.0,4.0,8.0,38.0,,0.0,4.0,6.0,40.0,,0.0
1976,Wimbledon,Grass,G,3.875,6.5,38.25,,0.0,3.25,9.0,30.0,,0.0,3.0,7.0,35.0,,0.0,3.0,8.0,34.0,,0.0
1976,US Open,Clay,G,3.875,5.25,38.0,,0.0,4.0,7.0,38.0,,0.0,3.0,9.5,26.5,,0.0,4.0,2.0,42.0,,0.0
1976,Australian Open,Grass,G,3.75,7.0,36.5,63.57142857142857,0.625,3.75,5.5,38.0,87.5,0.25,3.5,6.0,33.0,116.0,0.5,4.0,8.0,42.0,212.0,0.0
1976,Masters,Carpet,M,0.0,,,,,0.0,,,,,4.0,6.0,40.0,,0.0,5.0,2.0,46.0,,0.0
1977,Rome,Clay,M,2.375,4.75,20.5,25.125,0.375,2.25,3.5,23.0,22.25,0.5,4.0,5.5,41.5,23.0,0.5,4.0,3.0,43.0,13.0,1.0
1977,Toronto,Clay,M,2.375,5.125,23.875,33.75,0.5,2.25,5.25,22.25,24.75,0.75,2.5,3.0,25.0,28.0,0.0,2.0,11.0,13.0,31.0,0.0
1977,Cincinnati,Clay,M,2.0,4.0,15.25,49.166666666666664,0.375,2.25,6.25,20.25,18.666666666666668,0.5,1.5,2.0,12.0,13.5,0.5,2.0,7.0,17.0,13.0,1.0
1977,Roland Garros,Clay,G,3.625,7.375,33.625,13.875,0.625,4.0,7.25,37.75,11.0,0.75,3.0,10.0,28.0,4.0,1.0,3.0,15.0,21.0,3.0,1.0
1977,Wimbledon,Grass,G,4.125,4.5,42.0,26.285714285714285,0.625,4.0,7.75,40.75,4.0,0.75,4.5,3.5,44.5,1.5,0.5,5.0,6.0,46.0,2.0,0.0
1977,US Open,Clay,G,2.375,5.875,18.125,13.0,0.5,3.0,11.5,24.5,10.25,0.5,3.0,8.0,31.0,2.5,1.0,4.0,6.0,36.0,4.0,0.0
1977,Australian Open,Grass,G,3.75,7.25,36.75,25.625,0.75,3.75,4.5,37.5,19.0,0.75,4.0,4.0,36.0,8.0,1.0,3.0,9.0,27.0,10.0,0.0
1977,Australian Open-2,Grass,G,3.5,6.25,36.25,21.5,0.125,4.0,4.5,42.0,25.0,0.0,3.0,11.5,24.5,27.0,0.5,5.0,3.0,51.0,5.0,1.0
1977,Masters,Carpet,M,0.0,,,,,0.0,,,,,2.5,4.0,23.0,2.0,0.5,3.0,-1.0,27.0,1.0,1.0
1978,Rome,Clay,M,2.5,4.5,24.75,24.75,0.5,2.0,6.75,17.75,18.75,0.75,2.5,5.5,12.5,22.5,0.5,5.0,4.0,42.0,3.0,1.0
1978,Montreal / Toronto,Clay,M,2.125,6.625,18.375,,0.0,2.5,5.75,24.75,,0.0,3.0,1.5,32.5,,0.0,3.0,5.0,29.0,,0.0
1978,Cincinnati,Clay,M,2.375,5.25,23.0,59.125,0.625,2.25,7.5,19.5,21.0,1.0,2.0,7.0,17.0,6.5,1.0,3.0,5.0,29.0,6.0,1.0
1978,Roland Garros,Clay,G,3.25,8.375,31.125,11.125,0.625,3.5,8.75,30.75,7.75,0.5,3.0,13.5,22.5,2.5,1.0,3.0,13.0,23.0,3.0,0.0
1978,Wimbledon,Grass,G,3.5,7.5,33.75,9.5,0.875,3.5,6.75,35.25,9.5,0.75,3.0,8.5,30.5,2.0,1.0,3.0,11.0,25.0,3.0,0.0
1978,US Open,Hard,G,3.875,6.25,37.75,,0.0,3.25,10.5,29.5,,0.0,3.0,9.0,29.0,,0.0,3.0,10.0,26.0,,0.0
1978,Australian Open,Grass,G,3.625,7.375,34.625,30.0,0.25,4.0,6.5,39.0,17.333333333333332,0.5,4.0,5.5,36.5,3.0,0.5,4.0,4.0,38.0,3.0,0.0
1978,Masters,Carpet,M,0.0,,,,,0.0,,,,,2.5,4.5,23.5,8.5,0.5,3.0,4.0,34.0,4.0,1.0
1979,Rome,Clay,M,2.25,4.125,23.375,19.714285714285715,0.625,2.5,4.25,25.25,11.0,0.5,3.0,2.0,17.0,4.5,1.0,5.0,5.0,57.0,5.0,0.0
1979,Montreal / Toronto,Hard,M,2.125,6.625,18.625,24.285714285714285,0.75,2.0,7.5,17.0,11.25,0.75,2.0,7.0,17.0,2.0,1.0,2.0,6.0,18.0,1.0,1.0
1979,Cincinnati,Hard,M,2.25,5.5,21.25,30.875,0.375,2.25,7.5,18.0,30.25,0.5,2.0,6.5,19.5,14.0,0.5,2.0,6.0,18.0,23.0,0.0
1979,Roland Garros,Clay,G,4.125,7.0,37.0,12.75,0.625,3.5,8.25,31.25,9.0,0.75,3.5,10.0,32.0,15.5,0.5,4.0,9.0,39.0,2.0,1.0
1979,Wimbledon,Grass,G,3.75,5.875,39.625,22.0,0.375,4.0,7.25,38.75,11.5,0.75,3.0,9.0,28.0,4.0,0.5,5.0,6.0,48.0,2.0,1.0
1979,US Open,Hard,G,3.875,5.125,37.375,9.25,0.75,3.0,6.75,25.25,3.5,0.75,4.0,4.0,39.0,4.0,0.0,3.0,8.0,30.0,3.0,1.0
1979,Australian Open,Grass,G,3.625,6.125,36.875,55.57142857142857,0.375,4.25,3.25,44.25,27.0,0.75,4.0,2.5,46.5,26.0,0.5,3.0,8.0,30.0,6.0,1.0
1979,Masters,Carpet,M,0.0,,,,,0.0,,,,,2.5,4.5,27.5,2.5,0.5,2.0,8.0,16.0,1.0,1.0
1980,Rome,Clay,M,2.5,2.125,22.375,20.75,0.5,2.5,4.25,25.25,19.75,0.5,2.0,9.5,14.5,14.0,1.0,3.0,10.0,26.0,4.0,1.0
1980,Montreal / Toronto,Hard,M,2.375,6.875,21.625,46.0,0.375,2.25,4.75,20.75,45.0,0.75,2.0,8.5,15.5,6.0,1.0,2.0,0.0,0.0,10.0,0.0
1980,Cincinnati,Hard,M,2.375,4.5,23.0,32.285714285714285,0.375,2.25,6.25,20.75,36.0,0.5,2.0,5.5,19.5,7.0,0.5,2.0,4.0,22.0,7.0,0.0
1980,Roland Garros,Clay,G,2.875,6.625,24.875,10.125,1.0,3.75,7.75,33.75,3.75,0.75,4.0,10.5,34.5,3.0,0.5,3.0,11.0,25.0,1.0,1.0
1980,Wimbledon,Grass,G,3.875,6.75,39.0,9.125,0.625,3.5,7.5,32.5,8.25,0.75,4.0,8.5,34.5,1.5,1.0,5.0,1.0,55.0,1.0,1.0
1980,US Open,Hard,G,3.375,9.0,30.5,11.375,0.625,4.5,6.25,41.75,8.75,0.75,5.0,4.5,45.5,1.5,1.0,5.0,5.0,55.0,2.0,0.0
1980,Australian Open,Grass,G,3.5,6.875,35.625,24.142857142857142,0.5,4.5,5.5,44.5,24.0,0.5,4.5,4.5,46.5,26.5,0.5,3.0,7.0,33.0,17.0,1.0
1980,Masters,Carpet,M,0.0,,,,,0.0,,,,,2.5,4.5,25.5,3.5,0.5,3.0,10.0,26.0,1.0,1.0
1981,Rome,Clay,M,2.25,6.75,19.0,14.125,0.75,2.75,4.25,26.25,10.0,0.75,3.5,6.5,35.5,14.5,0.0,3.0,11.0,25.0,8.0,1.0
1981,Montreal / Toronto,Hard,M,2.5,4.875,23.625,24.333333333333332,0.375,2.25,6.5,19.0,20.5,0.5,3.0,3.5,26.5,7.5,1.0,2.0,7.0,17.0,4.0,1.0
1981,Cincinnati,Hard,M,2.5,3.625,24.375,38.875,0.375,2.75,3.5,22.5,41.0,0.5,2.5,4.5,27.5,37.5,0.5,2.0,5.0,19.0,1.0,1.0
1981,Roland Garros,Clay,G,3.5,7.625,34.125,8.625,0.75,3.75,6.75,35.75,7.75,0.25,4.0,4.0,41.0,3.0,1.0,5.0,9.0,41.0,1.0,1.0
1981,Wimbledon,Grass,G,3.25,7.125,32.625,22.285714285714285,0.75,3.75,6.5,37.0,2.0,0.75,4.0,4.0,38.0,1.5,0.5,4.0,2.0,46.0,2.0,0.0
1981,US Open,Hard,G,3.75,5.75,35.75,16.428571428571427,0.375,3.75,7.75,37.75,6.0,0.75,4.0,7.0,39.0,1.5,1.0,4.0,7.0,37.0,1.0,1.0
1981,Australian Open,Grass,G,3.75,6.5,36.25,30.125,0.625,3.5,6.5,35.5,33.75,0.25,4.0,7.0,41.0,36.5,0.5,4.0,6.0,44.0,19.0,1.0
1981,Masters,Carpet,M,0.0,,,,,0.0,,,,,2.5,5.0,24.0,5.5,0.0,5.0,2.0,52.0,2.0,1.0
1982,Rome,Clay,M,2.375,6.875,21.125,28.625,0.625,2.5,6.25,20.25,30.5,0.75,3.0,2.5,29.5,13.0,1.0,3.0,11.0,25.0,16.0,0.0
1982,Montreal / Toronto,Hard,M,2.25,5.625,21.875,18.857142857142858,0.5,2.0,5.25,19.75,3.0,0.75,1.0,2.0,10.0,4.5,0.0,3.0,6.0,26.0,5.0,0.0
1982,Cincinnati,Hard,M,2.25,5.375,22.125,9.428571428571429,0.625,1.5,3.75,14.75,6.5,0.5,2.0,6.5,18.5,11.5,0.0,2.0,5.0,21.0,4.0,1.0
1982,Roland Garros,Clay,G,3.875,8.5,36.5,10.125,0.625,3.25,9.25,29.25,11.25,0.5,3.5,6.0,34.0,11.0,0.5,4.0,4.0,36.0,18.0,0.0
1982,Wimbledon,Grass,G,3.0,7.75,29.25,13.375,0.75,4.0,6.0,40.5,15.5,0.5,3.0,11.0,25.0,2.0,1.0,5.0,2.0,54.0,3.0,0.0
1982,US Open,Hard,G,3.625,6.75,34.75,21.571428571428573,0.375,3.5,9.25,31.25,2.5,0.75,3.5,7.0,33.0,2.5,0.5,4.0,7.0,37.0,2.0,1.0
1982,Australian Open,Grass,G,2.375,5.25,22.25,20.0,0.25,4.25,6.25,39.75,19.333333333333332,0.0,5.0,0.0,54.0,12.5,0.5,3.0,10.0,26.0,12.0,1.0
1982,Masters,Carpet,M,3.0,3.75,26.75,10.5,0.5,2.0,4.5,21.0,2.5,1.0,2.0,7.0,17.0,2.0,0.5,3.0,8.0,28.0,3.0,0.0
1983,Rome,Clay,M,2.125,6.125,19.375,45.375,0.375,1.5,6.5,11.5,45.25,0.5,2.0,6.0,19.0,12.5,1.0,4.0,10.0,38.0,16.0,0.0
1983,Montreal / Toronto,Hard,M,2.5,6.625,22.125,19.857142857142858,0.625,2.0,6.5,18.5,22.25,0.75,2.0,6.0,19.0,42.5,0.5,2.0,8.0,16.0,2.0,1.0
1983,Cincinnati,Hard,M,2.25,6.25,20.75,18.75,0.75,1.75,5.75,13.75,3.0,1.0,2.5,7.5,22.5,3.5,0.5,2.0,4.0,20.0,6.0,0.0
1983,Roland Garros,Clay,G,3.25,8.375,29.875,4.0,0.875,4.0,8.0,37.0,6.0,0.0,3.5,12.5,30.5,5.5,0.5,3.0,7.0,33.0,6.0,0.0
1983,Wimbledon,Grass,G,3.25,8.75,31.25,18.333333333333332,0.25,3.5,7.25,36.75,6.666666666666667,0.5,4.0,4.0,48.0,2.0,0.5,3.0,12.0,24.0,2.0,0.0
1983,US Open,Hard,G,3.625,8.75,33.5,18.875,0.375,4.0,3.5,41.0,7.75,0.75,3.0,10.5,26.5,2.5,1.0,4.0,10.0,40.0,3.0,0.0
1983,Australian Open,Grass,G,3.25,7.125,31.875,21.375,0.625,3.5,7.25,32.75,9.5,0.75,3.5,7.5,33.5,3.0,0.5,3.0,9.0,27.0,5.0,0.0
1983,Masters,Carpet,M,2.0,4.75,20.25,13.0,0.5,2.25,3.25,16.25,2.5,1.0,2.0,5.5,18.5,1.5,1.0,3.0,7.0,29.0,2.0,0.0
1984,Rome,Clay,M,2.25,5.25,21.0,45.25,0.375,2.0,7.25,16.75,33.5,0.75,2.0,7.5,16.5,36.5,0.5,4.0,9.0,31.0,7.0,1.0
1984,Montreal / Toronto,Hard,M,2.5,2.5,26.0,57.25,0.75,2.25,5.75,20.25,11.25,0.75,3.0,1.5,30.5,9.5,1.0,2.0,9.0,15.0,1.0,1.0
1984,Cincinnati,Hard,M,2.125,5.75,20.75,48.375,0.875,2.75,4.5,29.0,9.75,1.0,2.5,0.5,27.5,9.5,0.5,2.0,4.0,22.0,4.0,1.0
1984,Roland Garros,Clay,G,3.5,7.625,31.625,4.875,0.875,3.75,5.5,37.0,2.5,1.0,3.0,9.5,28.5,1.5,1.0,5.0,-1.0,51.0,2.0,0.0
1984,Wimbledon,Grass,G,3.75,8.375,36.125,47.375,0.5,3.25,8.5,31.5,9.75,0.75,3.5,7.5,36.5,2.0,0.5,3.0,14.0,22.0,1.0,1.0
1984,US Open,Hard,G,3.125,8.625,29.375,12.75,0.75,3.25,7.5,31.0,6.0,0.75,5.0,2.5,52.5,1.5,1.0,3.0,10.0,26.0,1.0,1.0
